,protocolo,mapa,rango,masmsj,dens,rng,delivery_prob,overhead_ratio,latency_avg,hopcount_avg
0,lorapropttr,linares,1km,True,0.2,1,0.9444,6.7353,393.6221,1.9853
1,lorapropttr,linares,1km,True,0.2,2,0.9375,6.0074,445.7037,1.9259
2,lorapropttr,linares,1km,True,0.2,3,0.9306,6.4925,488.3881,2.0224
3,lorapropttr,linares,1km,True,0.5,1,0.9931,32.7343,137.2727,3.1119
4,lorapropttr,linares,1km,True,0.5,2,0.9722,30.5714,167.3257,3.0071
5,lorapropttr,linares,1km,True,0.5,3,0.9861,25.2183,135.6162,3.0
6,lorapropttr,linares,1km,True,1,1,0.9931,79.7832,84.5084,4.1469
7,lorapropttr,linares,1km,True,1,2,0.9931,76.7832,73.1154,3.6713
8,lorapropttr,linares,1km,True,1,3,0.9931,82.3706,79.6748,3.6503
9,lorapropttr,linares,1km,False,0.2,1,0.9028,7.7231,397.7431,2.0615
10,lorapropttr,linares,1km,False,0.2,2,0.9167,6.4848,526.9273,2.0152
11,lorapropttr,linares,1km,False,0.2,3,0.9306,5.7015,367.0478,1.9403
12,lorapropttr,linares,1km,False,0.5,1,0.9861,32.6056,278.2408,2.7183
13,lorapropttr,linares,1km,False,0.5,2,0.9861,28.338,118.1662,2.7606
14,lorapropttr,linares,1km,False,0.5,3,0.9861,28.4507,213.0761,3.0141
15,lorapropttr,linares,1km,False,1,1,0.9861,92.4366,75.2197,4.0986
16,lorapropttr,linares,1km,False,1,2,1.0,70.875,48.2444,3.4722
17,lorapropttr,linares,1km,False,1,3,0.9861,66.3803,47.0873,3.8028
18,lorapropttr,linares,500m,True,0.2,1,0.9306,5.4254,661.7776,1.8881
19,lorapropttr,linares,500m,True,0.2,2,0.9236,5.1504,534.0218,1.7669
20,lorapropttr,linares,500m,True,0.2,3,0.9236,5.0827,580.9669,1.7895
21,lorapropttr,linares,500m,True,0.5,1,0.9792,25.8865,336.795,2.6241
22,lorapropttr,linares,500m,True,0.5,2,0.9792,24.2695,393.7787,2.6241
23,lorapropttr,linares,500m,True,0.5,3,0.9792,24.0355,415.1624,2.7589
24,lorapropttr,linares,500m,True,1,1,0.9931,80.014,272.2035,3.8392
25,lorapropttr,linares,500m,True,1,2,0.9931,66.5035,256.9594,3.8671
26,lorapropttr,linares,500m,True,1,3,0.9931,79.5175,207.9336,3.8322
27,lorapropttr,linares,500m,False,0.2,1,0.9028,4.7692,661.3938,1.7077
28,lorapropttr,linares,500m,False,0.2,2,0.9028,4.9385,572.0692,1.7077
29,lorapropttr,linares,500m,False,0.2,3,0.9167,5.3939,813.4212,1.6818
30,lorapropttr,linares,500m,False,0.5,1,1.0,28.5833,409.1542,2.9167
31,lorapropttr,linares,500m,False,0.5,2,0.9861,28.1549,362.1099,2.8028
32,lorapropttr,linares,500m,False,0.5,3,0.9861,26.0563,446.3296,2.6761
33,lorapropttr,linares,500m,False,1,1,0.9861,76.0423,224.5042,3.662
34,lorapropttr,linares,500m,False,1,2,0.9861,76.169,206.8296,4.0282
35,lorapropttr,linares,500m,False,1,3,0.9861,82.4366,241.2887,3.9437
36,lorapropttr,santiago,200m,True,0.2,1,0.5069,4.5479,9173.3507,1.8082
37,lorapropttr,santiago,200m,True,0.2,2,0.5139,4.527,10238.1932,1.8108
38,lorapropttr,santiago,200m,True,0.2,3,0.4861,5.4,12041.0057,1.8429
39,lorapropttr,santiago,200m,True,0.5,1,0.8333,6.3,6063.97,1.9667
